lunch_name,taste,meatiness,sweetness
domácí buchty plněné granko,58,0,85
vepřový plátek přírodní brambory šťouchané s jarní cibulkou,55,82,0
pečené fazole s toastovým chlebem,40,0,0
hovězí pečeně štěpánská bramborová kaše,61,90,0
krůtí maso s křenovou omáčkou vdolek,45,75,0
vepřové kostky na fazolkách brambory vařené,48,82,0
grilovaný hermelín brambory vařené s petrželkou tatarská omáčka,54,0,0
rizoto z drůbežího masa sypané sýrem ledový salát s ředkvičkou,51,75,0
roštěná hovězí pečeně rýže jasmínová,53,90,0
grilovaný kuskus s vepřovou panenkou a rajčaty listy římského salátu,47,82,0
novohradský vepřový plátek těstoviny vařené,53,85,0
kuřecí plátek přírodní rýže dušená se zeleným hráškem,50,80,0
vepřové maso pečené baby mrkev brambory vařené,48,82,0
krupicová kaše s kakaem ovocný kompot mléko,45,0,55
nudle s mákem maštěné máslíčkem mléko,55,0,30
krůtí maso po zahradnicku těstoviny rýžové,50,75,0
křupavá husička s bílým i červeným zelím houskové a bramborové knedlíky,70,100,0
čočka na přírodní způsob plátek šunky od kosti nakládané kukuřičky,40,60,0
vepřová plec na slanině těstoviny vařené,53,82,0
rybí file zapečené s vejci brambory vařené s petrželkou rajče,48,60,0
vepřová panenka na sekané bazalce brambory vařené,60,82,0
ravioli s tvarohovou náplní sypané strouhankou ovocný kompot kakao,58,0,45
singapurské rýžové nudle,45,0,0
moravský vrabec chlupaté knedlíky dušené zelí,55,100,0
hovězí maso na španělský způsob houskové knedlíky domácí,60,90,0
cikánská hovězí pečeně houskové knedlíky s žemlí,52,90,0
špenátové špagety,22,0,0
rybí file na křenu se smetanou bramborová kaše strouhaná mrkvička,56,60,0
krůtí maso na medu a zázvoru s jasmínovou rýží,50,75,10
játrová omáčka rýže dušená,20,77,0
hovězí dušené kostky na zelenině brambory vařené,49,82,0
bramborové knedlíky s cibulkou okurka kyselá,43,0,0
kantonské nudle s vepřového masa,45,85,0
čočka na kyselo vaječná omeleta okurka sterilovaná,46,0,0
obalovaný filet z aljašké tresky brambory vařené s petrželkou kapie,55,65,0
vepřové maso po znojemsku houskové knedlíky domácí,52,85,0
bramborové knedlíky s cibulkou okurka sterilovaná,43,0,0
vepřová plec na kmíně kuskus,39,82,0
bramborové noky se zelím a cibulkou,42,0,0
špagety rýžové s tuňákem,59,55,0
brokolice se sýrovou omáčkou brambory opečené,22,0,0
zeleninové rizoto s hlívou ústřičnou a sýrem kapie,22,0,0
rybí prsty smažené brambory šťouchané s jarní cibulkou rajče,69,60,0
lasagne s rybím masem bešamelem a špenátem okurka salátová,23,70,0
rizoto z vepřového masa sypané sýrem čalamáda,51,87,0
makové šišky sypané strouhaným tvarohem ovocný kompot,60,0,50
debrecínský vepřový guláš tarhoňa,35,87,0
rizoto na srbský způsob s kachním masem čalamáda,51,85,0
kantonské nudle s kuřecím masem mrkvový salát,45,80,0
jáhlová kaše s medem a oříšky ovocný kompot káva bílá,40,0,35
zapečené těstoviny s uzeninou,52,70,0
lasagne s brokolicí a sýrem čerstvá zelenina,24,0,0
hrachová kaše s cibulkou vejce vařené okurka sterilovaná,35,0,0
obalované filety z hejka bramborová kaše rajče,60,65,0
kuskus po milánsku s vepřovým masem nakládaná cibulka,30,82,0
dukátové buchtičky s krémem kakao,69,0,85
nudlový nákyp s tvarohem a jablky ovocný kompot kakao,58,0,30
pikantní kuřecí maso v tortile,55,75,0
srbské rizoto okurkový salát,53,50,0
vepřový řízek smažený brambory vařené s petrželkou,82,85,0
maso tří barev bramborové noky,49,90,0
panenka na hříbkové omáčce s bramborovými noky,55,85,0
smetanové brambory zapečené se sýrem zelenina sterilovaná,40,0,0
vepřové maso pečené brambory vařené dušená bretaňská zelenina,53,87,0
halušky z bylinkového těsta s brynzou listy ledového salátu,39,0,0
kuřecí marinovaný plátek hrachová kaše s cibulkou kapie,42,80,0
znojemská hovězí pečeně houskové knedlíky s žemlí,54,90,0
mexické fazole pečivo,30,0,0
smažené rybí karbanátky brambory šťouchané s jarní cibulkou,61,60,0
francouzské brambory ledový salát s ředkvičkou,50,0,0
kuřecí plátek s anglickou slaninou a sýrem brambory vařené listy ledového salátu,57,82,0
lívance se skořicí granko,62,0,55
kuřecí kostky na pórku rýže jasmínová,50,80,0
maso tří barev rýže jasmínová,50,87,0
debrecínský hovězí guláš celozrnné houskové knedlíky,54,90,0
maso tří barev brambory vařené,50,87,0
vepřové maso po italsku špecle,49,87,0
hovězí pečeně přírodní kukuřice na másle brambory vařené,51,82,0
vepřové kostky na fazolkách těstoviny vařené,45,82,0
mletý řízek s nivou bramborová kaše ledový salát s ředkvičkou,65,82,0
hovězí maso na způsob španělského ptáčka rýže dušená,56,90,0
kachní prso pečené červené zelí dušené houskové knedlíky domácí,67,100,0
treska zapečená s jogurtem sýrem a bylinkami brambory šťouchané s pažitkou,35,60,0
vepřová kýta na smetaně houskové knedlíky domácí,50,90,0
hovězí maso na španělský způsob rýže jasmínová,56,90,0
kuskus se zeleninou a vepřovým masem strouhaná mrkvička,24,82,0
rybí file na másle s citronem brambory vařené kapie,56,60,0
pštrosí vejce bramborová kaše červená řepa,60,60,0
bavorské vdolečky granko,67,0,70
rybí nugety z aljašské tresky brambory vařené s petrželkou obloha zeleninová,67,65,0
kuře na nivě rýže jasmínová,55,75,0
jáhlová kaše s medem a oříšky káva mléčná,40,0,40
zapečené palačinky s tvarohem ovocný kompot banánové mléko,65,0,55
sekaná pečeně bramborová kaše rajčatový salát,72,82,0
vepřové maso v mrkvi těstoviny vařené,49,82,0
pečené kuře bulgur,47,77,0
obalovaná treska s bylinkovou omáčkou bramborová kaše listy ledového salátu,60,60,0
pizza rajčatový salát,90,50,0
kuřecí stehno pečené brambory vařené nádivka,61,85,0
karbanátek smažený bramborová kaše okurkový salát,70,82,0
těstovinový salát s lososem kaiserka,53,55,0
spätzle s hruškama a tvarohem perníkový posyp kakao,59,0,50
rýžový nákyp s ovocem ochucené mléko,63,0,60
zeleninové krupoto s vepřovým masem sypané sýrem čalamáda,13,82,0
těstovinový salát s makrelou,44,55,0
špecle s mákem maštěné máslíčkem horká čokoláda,59,0,60
hovězí líčka s kořenovou zeleninou bramborová kaše,55,90,0
tarhoňové rizoto s tofu nakládaná cibulka,0,0,0
těstoviny s tvarohem maštěné máslem ovocný kompot kakao,60,0,55
hovězí kostky na divoko houskové knedlíky domácí,51,90,0
pikantní kuřecí maso v tortile listy ledového salátu,55,75,0
rybí file na másle s citronem brambory vařené s petrželkou nakládané feferony,56,60,0
kovbojské fazole s klobáskou chléb,55,75,0
čočkový salát s vejci pečivo,23,0,0
krůtí kostky v paprikové omáčce těstoviny,52,80,0
lasagne s rybím masem bešamelem a špenátem kapie,23,50,0
vepřová roláda s medvědím česnekem rýže jasmínová,53,80,0
poděbradské maso bulgur,39,80,0
kovbojské fazole s vepřovým masem brambory vařené,43,70,0
rýžový nákyp s ovocem granko,63,0,55
rýžovo-jogurtové knedlíky s ovocem a zak.smetanou kakao,63,0,65
hovězí maso stroganov houskové knedlíky domácí,54,85,0
salát s červenou čočkou sýrová bageta s rajčaty,24,0,0
sekaný biftek bramborová kaše mrkvový salát,71,75,0
vepřové maso po cikánsku houskové knedlíky domácí,52,85,0
kaše z ovesných vloček sypaná skořicí ovocný kompot kakao nesquik,46,0,50
lipnický špaček brambory gratinované nakládaná cibulka,57,0,0
jitrnicový prejt brambory vařené zelný salát,48,80,0
vepřový špalíček a-la bažant bramborové knedlíky,55,85,0
lososové nugetky bramborová kaše nakládané feferony,65,50,0
bramborové šišky se strouhankou ovocný kompot mléko,50,0,0
špecle s vepřovým masem a rajčaty,50,70,0
rizoto z drůbežího masa sypané sýrem zelenina sterilovaná,51,75,0
vepřová panenka pečená bramborová kaše okurkový salát,65,80,0
nudle s tvarohem a cukrem maštěné máslem jahodový koktejl,60,0,50
rizoto z vepřového masa sypané sýrem nakládané kukuřičky,51,80,0
hovězí pečeně štěpánská houskové knedlíky domácí,56,90,0
luštěninové lasagne listy ledového salátu,45,0,0
bramborový nákyp s mletým masem červená řepa,60,70,0
těstoviny se zeleninou žampiony a vepř.masem rajčatový salát,51,70,0
mexické rizoto s drůbežím masem nakládaná cibulka,51,70,0
lívance se skořicí káva mléčná,62,0,40
rýžové špagety s tofu a zeleninou,5,0,0
sekaná pečeně bramborová kaše ledový salát s ředkvičkou,72,75,0
kuřecí plátek s anglickou slaninou a sýrem brambory vařené,57,80,0
džuveč pečivo,42,0,0
kaše z ovesných vloček sypaná skořicí ovocný kompot káva bílá,46,0,50
francouzské brambory okurka sterilovaná,50,0,0
kuřecí řízek smažený bramborová kaše,89,80,0
špenátové těstoviny s bešamelem šopský salát,13,0,0
bulgur se zeleninou sypané sýrem červená řepa,30,0,0
ovocné knedlíky sypané tvarohem maštěné máslem kakao nesquik,73,0,65
vepřové maso po cikánsku bulgur,38,80,0
rybí file zapečené s vejci brambory šťouchané s jarní cibulkou mrkvový salát,48,50,0
plovdivské maso bulgur,40,80,0
krůtí kostky na tymiánu rýže dušená,50,70,0
krůtí kostky v paprikové omáčce rýže dušená,50,70,0
rybí file zapečené s vejci brambory vařené s petrželkou strouhaná mrkvička,48,50,0
křenová omáčka hovězí maso vařené celozrnné houskové knedlíky,30,80,0
pštrosí vejce šťouchané brambory s jarní cibulkou salátová okurka,56,60,0
tofu na čínský způsob kuskus,0,0,0
hovězí líčka s kořenovou zeleninou těstoviny vařené,50,80,0
cizrnová kaše s jemným párkem a cibulovými kroužky ledový salát s ředkvičkou,45,50,0
těstoviny s brokolicí a nivou,21,0,0
rybí prsty smažené brambory vařené s petrželkou kapie,69,50,0
hovězí maso na žampiónech rýže jasmínová,52,80,0
karbanátek smažený bramborová kaše rajče,70,70,0
krůtí perkelt těstoviny rýžové,54,70,0
tarhoňa s houbovým prachem,12,0,0
krůtí prsa na rozmarýnu rýže dušená,55,70,0
šoulet vepřový plátek přírodní okurka sterilovaná,23,75,0
celer zapékaný se sýrem brambory opečené,28,0,0
vepřové nudličky s mandlemi a jasmínovou rýží,51,80,0
nugátové knedlíky,65,0,70
bulgur s vepřovým masem zeleninou a quinenou,32,75,0
brokolice zapékaná s lučinou brambory opečené čalamáda,25,0,0
kuskus kukuřičný s grilovanou zeleninou okurka salátová,20,0,0
bavorské vdolečky mléčný nápoj,67,0,50
květákové placičky brambory vařené s petrželkou tatarská omáčka,55,0,0
kapustové karbanátky bramborová kaše,45,0,0
vepřová plec na slanině rýže dušená,51,80,0
bavorské vdolečky káva bílá,67,0,70
rýžové knedlíky se švestkou sypané mákem kakao,60,0,65
babičino pečené kuře na tymiánu bramborové knedlíky,58,80,0
obalovaný květák smažený brambory vařené s petrželkou,58,0,0
spätzle s hruškama a tvarohem perníkový posyp horká čokoláda,59,0,50
sekaný biftek bramborová kaše listy ledového salátu,71,75,0
krůtí prsa se zeleninou ratatouille pyré z brambor a celeru,35,70,0
houskové knedlíky polévané jahodovou omáčkou ochucené mléko,55,0,75
škubánky s mákem mléko,62,0,65
vepřová panenka s fazolovými lusky brambory vařené,55,80,0
králičí stehno v hořčičné omáčce brambory šťouchané s jarní cibulkou,56,80,0
rybí filé zapečené se sýrem brambory vařené s petrželkou kapie,53,50,0
rizoto z vepřového masa sypané sýrem červená řepa,51,80,0
vepřová plec na slanině rýže jasmínová,51,80,0
pizza,90,0,0
kuřecí prsa na medu rýže jasmínová,51,75,0
hovězí maso vařené koprová omáčka celozrnné houskové knedlíky,60,80,0
luhačovický špaček bramborová kaše červená řepa,69,80,0
spätzle s hruškama a tvarohem perníkový posyp mléko,59,0,50
těstovinový salát se zeleninou a tuňákem pečivo,50,50,0
vepřové nudličky s mandlemi čínské nudle,49,75,0
krůtí kostky v paprikové omáčce těstoviny vařené,52,70,0
šopský salát pečivo,24,0,0
krupicová kaše s kakaem ovocný kompot ochucené mléko,45,0,60
dukátové buchtičky s krémem mléko ovocný kompot,69,0,70
kuřecí kousky přírodní rýže dušená,50,75,0
vepřová panenka pečená šťouchané brambory s pažitkou,60,80,0
rýžovo-jogurtové knedlíky s ovocem a zak.smetanou káva mléčná,63,0,65
šoulet s vepřovým plátkem obloha zeleninová,22,75,0
čočka na kyselo kuřecí marinovaný plátek okurka sterilovaná,37,75,0
bulgur se zeleninou sypané sýrem nakládaná cibulka,30,0,0
grenadýrský pochod kapie,44,0,0
cmunda po kaplicku,53,0,0
zeleninový salát s tuňákem a kuskusem pečivo,25,50,0
lečo s vejcem pečivo,45,0,0
rybí file na másle s citronem bramborová kaše,59,50,0
sekaná pečeně bramborová kaše okurka sterilovaná,72,75,0
přírodní karbanátek smažený s cibulkou hořčice chléb,60,70,0
trhané kuřecí maso americké brambory,54,80,0
hovězí maso na způsob španělského ptáčka houskové knedlíky s žemlí,60,85,0
lasagne s rybím masem bešamelem a špenátem listy ledového salátu,23,50,0
hamburská vepřová kýta celozrnné houskové knedlíky,56,80,0
kuřecí nudličky grilované s americkým bramborem listy římského salátu,58,75,0
hovězí maso na pepři bramborové noky,51,80,0
kantonské nudle s kuřecím masem čerstvá zelenina,44,75,0
vinná klobása bramborová kaše,85,75,0
alpský povidlový knedlík káva mléčná,70,0,65
těstoviny s tuňákem,40,50,0
holandský řízek bramborová kaše okurka sterilovaná,85,75,0
hovězí svíčková na smetaně houskové knedlíky s žemlí,70,90,0
hovězí gulaš těstoviny vařené,55,80,0
hrachová kaše s cibulkou marinovaný vepřový plátek,35,80,0
spätzle s hruškama a tvarohem perníkový posyp kakao nesquik,59,0,50
trhané vepřové maso brambory vařené tatarská omáčka,60,80,0
zapečená brokolice s bramborem a vaječnou zálivkou červená řepa,22,0,0
vepřová panenka s fazolovými lusky brambory opečené listy ledového salátu,55,80,0
krupicová kaše s kakaem ovocný kompot káva mléčná,45,0,60
rybí file zapečené s vejci brambory vařené kapie,48,50,0
hrachová kaše s cibulkou vejce vařené salát z bílého zelí,35,0,0
husí stehna pečená zelí dušené houskové knedlíky domácí,62,95,0
kuřecí řízek smažený bramborová kaše okurka sterilovaná,89,80,0
zapečené těstoviny s uzeným masem okurkový salát,53,75,0
kuřecí plátek přírodní rýže jasmínová,55,75,0
hrachová kaše s cibulkou kuřecí marinovaný plátek nakládané feferony,35,75,0
kantonské nudle s kuřecím masem ledový salát s ředkvičkou,45,75,0
kuřecí prsa na paprice těstoviny rýžové,59,70,0
ovocné knedlíky sypané tvarohem maštěné máslem,73,0,65
krůtí maso na slanině rýže dušená,51,75,0
vepřové kostky na fazolkách rýže dušená,44,80,0
rybí file na křenu se smetanou brambory vařené listy ledového salátu,54,50,0
sekané vepřové karbošky se zeleninou bramborová kaše kapie,65,80,0
luhačovický špaček bramborová kaše rajče,69,80,0
bretaňská zelenina na máslíčku americké brambory bylinkový dresink,35,0,0
kuřecí maso kung pao rýže jasmínová,50,75,0
vepřenky s cibulí a hořčicí brambory vařené,63,75,0
smetanové brambory zapečené se sýrem červená řepa,40,0,0
bulgur se zeleninou sypané sýrem okurka sterilovaná,30,0,0
šišky z kynutého těsta kakao,60,0,60
zapečené těstoviny s brokolicí a žampiony okurka salátová,30,0,0
palačinky s marmeládou kakao nesquik,95,0,80
rizoto z vepřového masa sypané sýrem okurkový salát,51,80,0
fazole chilli con carne chléb,45,80,0
žemlovka s jablky a tvarohem káva bílá,60,0,55
kuskus s ovocnou omáčkou a strouhaným tvarohem kakao nesquik,31,0,65
lasagne s mletým masem listy ledového salátu,60,85,0
pečené vepřové koleno dušené zelí bramborové knedlíky,55,100,0
rybí file na másle s citronem brambory šťouchané s pažitkou kapie,56,50,0
hovězí pečeně se svíčkovou omáčkou a brusinkami houskové knedlíky s žemlí,71,90,0
bramborový guláš pečivo,54,0,0
smažený květák brambory vařené s petrželkou tatarská omáčka,58,0,0
hovězí pečeně znojemská rýže dušená,54,80,0
šoulet s vepřovým plátkem zelný salát,25,80,0
krůtí paprikáš těstoviny rýžové,54,70,0
rybí prsty smažené bramborová kaše kapie,70,50,0
kuřecí závitek brambory šťouchané s pažitkou rajče,55,75,0
hovězí pečeně přírodní celozrnné houskové knedlíky,52,80,0
kuřecí nudličky na kari rýže jasmínová,50,75,0
lečo s vejci a uzeninou brambory vařené,55,75,0
bratislavské vepřové plecko houskové knedlíky domácí,50,85,0
tarhoňa se žampiony a houbovým prachem,13,0,0
domácí buchty plněné ovocný salát mléko,60,0,70
katův šleh rýže jasmínová,51,80,0
chilli con carne s mletým hovězím masem a fazolemi chléb,48,90,0
obalovaný losos s medem a hořčicí brambory vařené s petrželkou kapie,58,50,0
italský guláš bulgur,35,80,0
králičí stehno v hořčičné omáčce rýže dušená,55,80,0
lasagne s vanilkovým krémem a ovocem mléko,62,0,90
hrachová kaše s cibulkou pečené vepřové koleno,35,95,0
hovězí maso na pepři rýže dušená,51,80,0
zapečená brokolice s bramborem a vaječnou zálivkou nakládané feferony,22,0,0
tofu na čínský způsob rýže jasmínová,5,0,0
vepřová plec na slanině celozrnné houskové knedlíky,53,80,0
ovocné knedlíky sypané tvarohem maštěné máslem kakao,73,0,70
jáhlová kaše s medem a oříšky ovocný kompot horká čokoláda,40,0,50
holandský řízek bramborová kaše čerstvá zelenina,85,75,0
kuřecí kousky v mrkvi brambory vařené,48,75,0
domácí buchty plněné ochucené mléko,60,0,85
hovězí pečeně na slanině bramborové knedlíky,54,85,0
rýžová kaše s grankem maštěné máslem ovocný salát horká čokoláda,47,0,55
kuřecí kousky obalené v sezamu bramborová kaše,70,75,0
květákový mozeček brambory vařené s petrželkou okurkový salát,35,0,0
ovocné knedlíky sypané tvarohem maštěné máslem granko,73,0,70
kuře na nivě brambory opečené,55,75,0
kuskus po milánsku s vepřovým masem červená řepa,30,80,0
zeleninový salát s krabím masem toustový chléb,30,50,0
sojové maso na indický způsob tortilla,45,0,0
krůtí paprikáš těstoviny vařené,55,70,0
mexický guláš houskové knedlíky s žemlí,50,80,0
bulgur s vepřovým masem a zeleninou červená řepa,32,75,0
šišky z kynutého těsta granko,60,0,65
kotlíkový perkelt těstoviny vařené,52,75,0
vepřové kostky na kmíně rýže dušená s pečenou těstovinou,50,80,0
rybí file na másle s citronem brambory vařené obloha,56,50,0
kuřecí stehna na kysaném zelí bramborové knedlíky,62,80,0
halušky z bylinkového těsta,51,0,0
bulgur rizoto se zeleninou a kuřecím masem červená řepa,35,55,0
kuřecí prso na špejli zeleninové hranolky tatarská omáčka,55,80,0
kaše z ovesných vloček sypaná skořicí ovocný kompot granko,46,0,30
kuřeci prsa na česneku bramborové noky s čočkou,45,77,0
znojemská hovězí pečeně rýže dušená,52,87,0
zapečené rýžové špagety s mletým masem listy ledového salátu,58,75,0
zeleninový salát s krabím masem pečivo,29,45,0
kuřecí kousky se špenátem a těstovinou,40,75,0
těstovinový salát s makrelou chléb,48,55,0
nudle s mákem maštěné máslíčkem ovocný kompot kakao nesquik,55,0,55
zeleninové rizoto se sýrem okurka sterilovaná,40,0,0
vepřová panenka na slanince bramborové noky,58,90,0
chřest s holandskou omáčkou brambory vařené,25,0,0
sekaná pečeně štěpánská šťouchané brambory s jarní cibulkou okurka sterilovaná,64,85,0
mořská štika s bazalkou a rajčaty bramborová kaše červená řepa,60,55,0
zapečené těstoviny s uzeninou strouhaná mrkvička,52,75,0
rybí prsty smažené bramborová kaše šopský salát,70,60,0
špecle s mákem maštěné máslíčkem ovocný kompot ochucené mléko,59,0,55
francouzské brambory nakládané kukuřičky,50,0,0
trhané vepřové maso pečené brambory vařené dušená baby mrkvička,55,95,0
čočkové ragú se špagetami sypané sýrem nakládané kukuřičky,32,0,0
kuřecí závitek bramborová kaše okurka sterilovaná,60,80,0
bramborové šišky se strouhankou ovocný kompot,50,0,30
maso tří barev čínské nudle,47,95,0
ravioli s tvarohovou náplní sypané strouhankou ovocný kompot káva mléčná,58,0,50
palačinky s nutelou a smetanovým krémem kakao nesquik,92,0,95
vepřové medailonky na bílém pepři brambory opečené,55,87,0
pštrosí vejce bramborová kaše okurka sterilovaná,60,60,0
zeleninové lečo s vejci brambory vařené s petrželkou,45,0,0
džuveč nakládaná cibulka,40,60,0
obalovaná treska se sýrem bramborová kaše čerstvá zelenina,60,60,0
sekaný biftek bramborová kaše,70,82,0
kantonské nudle z vepřového masa okurka sterilovaná,45,85,0
šoulet s vepřovým plátkem mrkvový salát,25,87,0
obalovaná treska s bylinkovou omáčkou bramborová kaše kapie,60,60,0
vepřové kostky na kmíně rýže jasmínová,50,87,0
vepřová plec na kmíně rýže dušená,50,87,0
vepřový guláš těstoviny vařené,52,85,0
kuřecí paličky pečené rýže dušená,58,82,0
chřest s holandskou omáčkou brambory opečené,25,0,0
vepřenky s cibulí a hořčicí brambory vařené s petrželkou,63,90,0
rybí filé zapečené se sýrem brambory vařené kapie,53,55,0
bramborové taštičky se sýrem čerstvá zelenina,49,0,0
houbový kuba okurka sterilovaná,50,0,0
vepřová plec na slanině brambory vařené,51,87,0
kuřecí maso na zázvoru brambory vařené s petrželkou,55,80,0
zapečené těstoviny s uzeninou salát čínský,52,75,0
krůtí svíčková na smetaně houskové knedlíky s žemlí,70,80,0
hovězí gulaš houskové knedlíky domácí,55,87,0
ravioli plněné s jahodovým přelivem mléko,60,0,65
kuskus se zeleninou a drůbežím masem listy římského salátu,24,55,0
špagety s kuřecím masem sypané sýrem,60,75,0
debrecínský vepřový guláš těstoviny vařené,54,85,0
zapečené brambory se smetanou a marinovaná vepřová panenka,58,85,0
kuřecí nudličky na kari jasmínová rýže,50,75,0
vepřové výpečky houskové knedlíky domácí špenát dušený,54,95,0
spätzle s borůvkovou omáčkou kakao,60,0,50
kuřecí kousky obalené v sezamové strouhance bramborová kaše rajče,70,75,0
rybí file na másle s citronem bramborová kaše okurkový salát,59,55,0
vepřové maso na zázvoru pečené s bramborami,53,87,0
čočka na přírodní způsob kuřecí stehenní řízek marinovaný nakládaná cibulka,44,77,0
kuřecí nudličky wok rýže dušená,50,77,0
vepřové maso po cikánsku těstoviny vařené,52,90,0
kuřecí nudličky grilované s americkým bramborem mrkvový salát,58,77,0
kuskus s grilovanou zeleninou ledový salát s ředkvičkou,20,0,0
francouzské brambory čalamáda,50,0,0
zeleninové rizoto se sýrem a pečenou těstovinou,42,0,0
lososvé nugety se salátkem z rukoly a polníčku zeleninové hranolky,40,55,0
těstovinový salát pečivo,38,0,0
rybí file na másle s citronem brambory vařené s petrželkou,56,55,0
italský guláš rýže dušená,50,82,0
kantonské nudle s kuřecím masem červená řepa,44,75,0
rybí nugety z aljašské tresky bramborová kaše listy ledového salátu,67,55,0
rýžový nákyp s ovocem kakao,63,0,50
krůtí roláda brambory šťouchané s jarní cibulkou čalamáda,58,80,0
vepřový guláš rýže dušená,51,87,0
luštěninové rizoto čalamáda,38,0,0
vepřové výpečky dušené hlávkové zelí bramborové knedlíky,56,95,0
sýrové tortellini v rajčatové omáčce,38,0,0
rizoto z vepřového masa sypané sýrem okurka salátová,51,82,0
spätzle s borůvkovou omáčkou ovocný kompot kakao nesquik,60,0,50
obalovaný květák smažený brambory vařené s petrželkou tatarská omáčka,59,0,0
krůtí maso s křenovou omáčkou bramborové noky,38,80,0
hovězí maso na pepři rýže dušená s pečenou těstovinou,52,87,0
moravský vrabec špenát dušený bramborové noky,51,95,0
mexické fazole v tortille listy ledového salátu,20,0,0
mořská štika s bazalkou a rajčaty brambory vařené čalamáda,58,55,0
luštěninové lasagne obloha zeleninová,42,0,0
lasagne s vanilkovým krémem a ovocem horká čokoláda,62,0,90
bramborové noky s uzeným masem a zelím,55,82,0
jitrnicový prejt brambory vařené zelí kysané,48,90,0
maďarský tokáň těstoviny vařené,51,87,0
koprová omáčka vejce vařené špaldové knedlíky,54,0,0
studentské špagety,58,0,0
brokolice zapékaná s nivou brambory vařené s petrželkou,25,0,0
makové šišky z brambor. těsta maštěné máslíčkem kakao nesquik,60,0,65
brambory po milánsku červená řepa,26,0,0
bramborák - se zelím,42,0,0
vepřové kostky na žampionech rýže dušená,50,87,0
pečená tarhoňa s restovanou zeleninou a tofu okurka salátová,0,0,0
mletý řízek s nivou bramborová kaše,66,82,0
palačinky s nutelou a smetanovým krémem granko,92,0,90
zeleninový salát s krabím masem celozrnná bageta,30,45,0
srbské rizoto okurka sterilovaná,51,50,0
alpský povidlový knedlík granko,70,0,55
luštěninové lasagne rajče,45,0,0
hovězí maso na česneku bramborové knedlíky špenátové,50,87,0
játrová omáčka houskové knedlíky s žemlí,34,75,0
bulgur s vepřovým masem a zeleninou listy ledového salátu,32,77,0
čočkové karbanátky bramborová kaše rajče,45,0,0
dukátové buchtičky s krémem káva bílá,69,0,70
vepřenky s cibulí bramborová kaše červená řepa,65,90,0
kantonské nudle s kuřecím masem zelný salát s mrkví,45,75,0
škubánky s mákem jahodový koktejl,62,0,50
moravský vrabec bramborové knedlíky špenát dušený,55,95,0
bramborové šišky se strouhankou kakao nesquik,50,0,30
hamburská vepřová kýta houskové knedlíky domácí,56,90,0
vepřový řízek smažený bramborová kaše okurka sterilovaná,86,95,0
rybí file na křenu se smetanou brambory vařené s petrželkou rajčatový salát,55,55,0
hovězí maso na žampiónech houskové knedlíky domácí,54,87,0
salát z rýžových těstovin a kuřecím masem,25,75,0
rýžové těstoviny s krůtím m. zeleninou a žampiony,42,75,0
císařské brambory nakládané kukuřičky,45,0,0
rybí file na křenu se smetanou brambory vařené rajčatový salát,55,55,0
maso tří barev rýže jasmínová mrkvový salát,51,82,0
vepřový guláš houskové knedlíky domácí,52,90,0
vepřová panenka s fazolovými lusky brambory opečené kapie,55,87,0
lasagne s mletým masem listy římského salátu,60,75,0
bavorské vdolečky ochucené mléko,67,0,60
spätzle s borůvkovou omáčkou kakao nesquik,60,0,50
rýžové nudle s borůvkovou omáčkou granko,58,0,50
rýžový nákyp s ovocem mléčný nápoj,63,0,50
těstoviny s krůtím masem zeleninou a žampiony kapie,50,75,0
zapečené brambory se smetanou a vepřovou kotletou listy ledového salátu,53,85,0
krupicová kaše s kakaem ovocný kompot horká čokoláda,45,0,55
fazolový kotlík pečivo,33,0,0
štěpánská hovězí pečeně celozrnné houskové knedlíky,55,87,0
hovězí maso po provensálsku rýže dušená,50,87,0
těstovinový salát s lososem toustový chléb,53,55,0
šišky z kynutého těsta kakao nesquik,60,0,55
španělský ptáček špaldové knedlíky,62,87,0
dukátové buchtičky s krémem horká čokoláda,69,0,70
rýžová kaše s grankem maštěné máslem ovocný kompot horká čokoláda,47,0,55
králík na černo bramborové knedlíky,56,90,0
hovězí pečeně frankfurtská houskové knedlíky domácí,60,87,0
císařské brambory,45,0,0
lasagne s brokolicí a sýrem kapie,24,0,0
rýžová kaše s grankem maštěné máslem kakao nesquik,45,0,55
plovdivské maso těstoviny rýžové ledový salát s ředkvičkou,52,80,0
bulgur se zeleninou sypané sýrem zelný salát,30,0,0
šoulet s vepřovým plátkem čalamáda,25,82,0
hovězí dušené kostky na zelenině těstoviny vařené,50,87,0
halušky se zelím a slaninou listy ledového salátu,61,60,0
hovězí pečeně přírodní rýže dušená,50,87,0
vepřové maso po cikánsku tarhoňa,38,82,0
halušky z bylinkového těsta s brynzou,39,0,0
moravský vrabec špenát dušený bramborové knedlíky,55,95,0
jáhlová kaše s medem a oříšky ovocný kompot káva mléčná,40,0,50
poděbradské maso těstoviny vařené,55,82,0
čočka na kyselo medová šunka okurka sterilovaná,33,50,0
bramborový nákyp s mletým masem listy ledového salátu,60,75,0
šišky z kynutého těsta jogurt ovocný kakao,60,0,50
obalovaná treska se sýrem bramborová kaše rajče,60,60,0
krupicová kaše s kakaem káva bílá,45,0,55
zapečený květák s uzeným sýrem brambory vařené s petrželkou rajče,26,0,0
francouzské brambory okurkový salát,50,0,0
babičino pečené kuře na tymiánu brambory opečené,57,80,0
bramborové šišky se strouhankou ovocný kompot káva bílá,50,0,30
